R_um,D_um,s_um,C_GND_GND_F,C_feedline_feedline_F,C_island_island_F,C_GND_feedline_F,C_GND_island_F,C_feedline_island_F,row_sum_GND_F,row_sum_feedline_F,row_sum_island_F,missing_cap_GND_F,missing_cap_feedline_F,missing_cap_island_F
40.0,300.0,64.0,7.114e-13,1.947e-13,1.113e-14,-1.915e-13,-1.056e-14,-6.018e-17,5.093e-13,3.115e-15,5.14e-16,-5.093e-13,-3.115e-15,-5.14e-16
40.0,300.0,72.0,7.11e-13,1.943e-13,1.111e-14,-1.911e-13,-1.052e-14,-6.272e-17,5.093e-13,3.129e-15,5.282e-16,-5.093e-13,-3.129e-15,-5.282e-16
40.0,300.0,80.0,7.113e-13,1.949e-13,1.105e-14,-1.917e-13,-1.042e-14,-6.787e-17,5.092e-13,3.115e-15,5.677e-16,-5.092e-13,-3.115e-15,-5.677e-16
40.0,400.0,8.0,7.118e-13,1.939e-13,1.178e-14,-1.907e-13,-1.146e-14,-1.915e-17,5.096e-13,3.128e-15,3.054e-16,-5.096e-13,-3.128e-15,-3.054e-16
40.0,400.0,16.0,7.118e-13,1.94e-13,1.166e-14,-1.909e-13,-1.131e-14,-2.05e-17,5.096e-13,3.124e-15,3.249e-16,-5.096e-13,-3.124e-15,-3.249e-16
40.0,400.0,24.0,7.118e-13,1.943e-13,1.152e-14,-1.911e-13,-1.115e-14,-2.203e-17,5.095e-13,3.116e-15,3.484e-16,-5.095e-13,-3.116e-15,-3.484e-16
40.0,400.0,32.0,7.114e-13,1.942e-13,1.14e-14,-1.91e-13,-1.096e-14,-2.665e-17,5.095e-13,3.12e-15,4.179e-16,-5.095e-13,-3.12e-15,-4.179e-16
40.0,400.0,40.0,7.115e-13,1.944e-13,1.126e-14,-1.913e-13,-1.08e-14,-2.808e-17,5.094e-13,3.115e-15,4.408e-16,-5.094e-13,-3.115e-15,-4.408e-16
40.0,400.0,48.0,7.112e-13,1.943e-13,1.122e-14,-1.911e-13,-1.073e-14,-2.96e-17,5.094e-13,3.124e-15,4.621e-16,-5.094e-13,-3.124e-15,-4.621e-16
40.0,400.0,56.0,7.114e-13,1.945e-13,1.117e-14,-1.913e-13,-1.065e-14,-3.123e-17,5.094e-13,3.116e-15,4.867e-16,-5.094e-13,-3.116e-15,-4.867e-16
